REF_AREA,INDICATOR,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_STATUS,EXTRACTION_METHOD,SOURCE,REF_AREA_LABEL,INDICATOR_LABEL,DATA_DATE
NE-1,MILLET_AREA_HA,2024/2025,297.0,ha,A,pdfplumber,bulletin_3T25.pdf,AGADEZ,Mil / Superficie,2026-09-14
NE-2,MILLET_AREA_HA,2024/2025,92176.0,ha,A,pdfplumber,bulletin_3T25.pdf,DIFFA,Mil / Superficie,2026-09-14
NE-3,MILLET_AREA_HA,2024/2025,1230265.0,ha,A,pdfplumber,bulletin_3T25.pdf,DOSSO,Mil / Superficie,2026-09-14
NE-4,MILLET_AREA_HA,2024/2025,1443720.0,ha,A,pdfplumber,bulletin_3T25.pdf,MARADI,Mil / Superficie,2026-09-14
NE-5,MILLET_AREA_HA,2024/2025,1301904.0,ha,A,pdfplumber,bulletin_3T25.pdf,TAHOUA,Mil / Superficie,2026-09-14
NE-6,MILLET_AREA_HA,2024/2025,1252813.0,ha,A,pdfplumber,bulletin_3T25.pdf,TILLABERY,Mil / Superficie,2026-09-14
NE-7,MILLET_AREA_HA,2024/2025,1464619.0,ha,A,pdfplumber,bulletin_3T25.pdf,ZINDER,Mil / Superficie,2026-09-14
NE-8,MILLET_AREA_HA,2024/2025,18682.0,ha,A,pdfplumber,bulletin_3T25.pdf,NIAMEY.,Mil / Superficie,2026-09-14
_T,MILLET_AREA_HA,2024/2025,6804476.0,ha,A,pdfplumber,bulletin_3T25.pdf,ENSEMBLE,Mil / Superficie,2026-09-14
NE-1,MILLET_YIELD_KG_HA,2024/2025,475.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,AGADEZ,Mil / Rendement,2026-09-14
NE-2,MILLET_YIELD_KG_HA,2024/2025,363.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,DIFFA,Mil / Rendement,2026-09-14
NE-3,MILLET_YIELD_KG_HA,2024/2025,588.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,DOSSO,Mil / Rendement,2026-09-14
NE-4,MILLET_YIELD_KG_HA,2024/2025,655.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,MARADI,Mil / Rendement,2026-09-14
NE-5,MILLET_YIELD_KG_HA,2024/2025,638.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,TAHOUA,Mil / Rendement,2026-09-14
NE-6,MILLET_YIELD_KG_HA,2024/2025,462.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,TILLABERY,Mil / Rendement,2026-09-14
NE-7,MILLET_YIELD_KG_HA,2024/2025,488.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,ZINDER,Mil / Rendement,2026-09-14
NE-8,MILLET_YIELD_KG_HA,2024/2025,519.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,NIAMEY.,Mil / Rendement,2026-09-14
_T,MILLET_YIELD_KG_HA,2024/2025,564.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,ENSEMBLE,Mil / Rendement,2026-09-14
NE-1,MILLET_PROD_T,2024/2025,141.0,t,A,pdfplumber,bulletin_3T25.pdf,AGADEZ,Mil / Production,2026-09-14
NE-2,MILLET_PROD_T,2024/2025,33476.0,t,A,pdfplumber,bulletin_3T25.pdf,DIFFA,Mil / Production,2026-09-14
NE-3,MILLET_PROD_T,2024/2025,723479.0,t,A,pdfplumber,bulletin_3T25.pdf,DOSSO,Mil / Production,2026-09-14
NE-4,MILLET_PROD_T,2024/2025,945050.0,t,A,pdfplumber,bulletin_3T25.pdf,MARADI,Mil / Production,2026-09-14
NE-5,MILLET_PROD_T,2024/2025,830511.0,t,A,pdfplumber,bulletin_3T25.pdf,TAHOUA,Mil / Production,2026-09-14
NE-6,MILLET_PROD_T,2024/2025,578250.0,t,A,pdfplumber,bulletin_3T25.pdf,TILLABERY,Mil / Production,2026-09-14
NE-7,MILLET_PROD_T,2024/2025,715408.0,t,A,pdfplumber,bulletin_3T25.pdf,ZINDER,Mil / Production,2026-09-14
NE-8,MILLET_PROD_T,2024/2025,9698.0,t,A,pdfplumber,bulletin_3T25.pdf,NIAMEY.,Mil / Production,2026-09-14
_T,MILLET_PROD_T,2024/2025,3836013.0,t,A,pdfplumber,bulletin_3T25.pdf,ENSEMBLE,Mil / Production,2026-09-14
NE-1,SORGHUM_AREA_HA,2024/2025,301.0,ha,A,pdfplumber,bulletin_3T25.pdf,AGADEZ,Sorgho / Superficie,2026-09-14
NE-2,SORGHUM_AREA_HA,2024/2025,26651.0,ha,A,pdfplumber,bulletin_3T25.pdf,DIFFA,Sorgho / Superficie,2026-09-14
NE-3,SORGHUM_AREA_HA,2024/2025,344540.0,ha,A,pdfplumber,bulletin_3T25.pdf,DOSSO,Sorgho / Superficie,2026-09-14
NE-4,SORGHUM_AREA_HA,2024/2025,1003278.0,ha,A,pdfplumber,bulletin_3T25.pdf,MARADI,Sorgho / Superficie,2026-09-14
NE-5,SORGHUM_AREA_HA,2024/2025,504354.0,ha,A,pdfplumber,bulletin_3T25.pdf,TAHOUA,Sorgho / Superficie,2026-09-14
NE-6,SORGHUM_AREA_HA,2024/2025,369172.0,ha,A,pdfplumber,bulletin_3T25.pdf,TILLABERY,Sorgho / Superficie,2026-09-14
NE-7,SORGHUM_AREA_HA,2024/2025,1179859.0,ha,A,pdfplumber,bulletin_3T25.pdf,ZINDER,Sorgho / Superficie,2026-09-14
NE-8,SORGHUM_AREA_HA,2024/2025,508.0,ha,A,pdfplumber,bulletin_3T25.pdf,NIAMEY.,Sorgho / Superficie,2026-09-14
_T,SORGHUM_AREA_HA,2024/2025,3428663.0,ha,A,pdfplumber,bulletin_3T25.pdf,ENSEMBLE,Sorgho / Superficie,2026-09-14
NE-1,SORGHUM_YIELD_KG_HA,2024/2025,488.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,AGADEZ,Sorgho / Rendement,2026-09-14
NE-2,SORGHUM_YIELD_KG_HA,2024/2025,331.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,DIFFA,Sorgho / Rendement,2026-09-14
