REF_AREA,COMPOSITE_BREAKDOWN,OBS_VALUE_report,TYPE_CULTURE,OBS_VALUE_portal,gap,relative_gap,agrees
NE,GOM,157540.0,CUL_MAR,42919.0,114621.0,2.670635382930637,False
NE,PIM,26880.0,CUL_MAR,59681.0,32801.0,0.5496054020542551,False
NE-1,ARA,3.0,CUL_IND,2.8228,0.17720000000000002,0.06277455009210714,True
NE-1,NIE,72.0,CUL_VIV,71.69296250000001,0.30703749999999275,0.0042826727937207605,True
NE-8,MAI,72.0,CUL_VIV,71.743709,0.2562910000000045,0.0035723132184315213,True
NE-1,MIL,141.0,CUL_VIV,141.4974155,0.49741549999998824,0.00351536809518608,True
NE-1,SOR,147.0,CUL_VIV,147.34801,0.34800999999998794,0.0023618235495680463,True
NE-1,MAI,559.0,CUL_VIV,559.3999816,0.39998160000004646,0.0007150189723925555,True
NE-8,SOR,352.0,CUL_VIV,352.1333834,0.1333834000000138,0.00037878657999460154,True
NE-7,MAI,1327.0,CUL_VIV,1327.4774000999998,0.4774000999998407,0.0003596295499749207,True
NE-6,MAI,1285.0,CUL_VIV,1285.2725878,0.2725878000001103,0.0002120855938168716,True
NE-5,MAI,861.0,CUL_VIV,860.832864,0.1671360000000277,0.00019415615619436632,True
NE-4,RIZ,2185.0,CUL_VIV,2184.671208,0.3287919999997939,0.00015049953457334797,True
NE-2,MAI,3825.0,CUL_VIV,3825.496211,0.4962110000001303,0.00012971153874713124,True
NE,MAI,12429.0,CUL_VIV,12430.287017900002,1.2870179000019561,0.00010353887228417253,True
NE-2,ARA,3439.0,CUL_IND,3438.6537663,0.34623370000008435,0.00010068873563058158,True
NE-4,MAI,2313.0,CUL_VIV,2313.1399609,0.1399609000000055,6.050688776547239e-05,True
NE-5,RIZ,4439.0,CUL_VIV,4438.731626,0.2683740000002217,6.04618667252179e-05,True
NE,FON,4896.0,CUL_VIV,4896.273094,0.2730940000001283,5.577589214432987e-05,True
NE-2,SOR,8816.0,CUL_VIV,8816.3758428,0.3758428000001004,4.2630079150611185e-05,True
NE-8,NIE,6461.0,CUL_VIV,6461.238173399999,0.2381733999991411,3.6861882135790506e-05,True
NE-3,MAI,2187.0,CUL_VIV,2186.9243035,0.07569650000004913,3.4613223639658145e-05,True
NE-6,ARA,16612.0,CUL_IND,16611.620439600003,0.3795603999969899,2.284908936952146e-05,True
NE-2,NIE,19955.0,CUL_VIV,19955.3818412,0.3818412000000535,1.9134747860935533e-05,True
