name,status,detail,row,column
period_jump,warn,390 in 2023/2024 vs 17 in 2024/2025,NE-1 CASSAVA_AREA_HA,2024/2025
period_jump,warn,"10,915 in 2023/2024 vs 322 in 2024/2025",NE-1 CASSAVA_PROD_T,2024/2025
period_jump,warn,816 in 2023/2024 vs 4 in 2024/2025,NE-1 GROUNDNUT_AREA_HA,2024/2025
period_jump,warn,765 in 2023/2024 vs 3 in 2024/2025,NE-1 GROUNDNUT_PROD_T,2024/2025
period_jump,warn,27 in 2023/2024 vs 141 in 2024/2025,NE-1 MILLET_PROD_T,2024/2025
period_jump,warn,111 in 2023/2024 vs 560 in 2024/2025,NE-1 MORINGA_AREA_HA,2024/2025
period_jump,warn,"2,083 in 2023/2024 vs 14,303 in 2024/2025",NE-1 MORINGA_PROD_T,2024/2025
period_jump,warn,"40 in 2023/2024 vs 1,671 in 2024/2025",NE-3 MORINGA_AREA_HA,2024/2025
period_jump,warn,"392 in 2023/2024 vs 40,572 in 2024/2025",NE-3 MORINGA_PROD_T,2024/2025
period_jump,warn,102 in 2023/2024 vs 866 in 2024/2025,NE-3 SWEET_POTATO_AREA_HA,2024/2025
period_jump,warn,"613 in 2023/2024 vs 16,484 in 2024/2025",NE-3 SWEET_POTATO_PROD_T,2024/2025
period_jump,warn,26 in 2023/2024 vs 242 in 2024/2025,NE-3 TIGER_NUT_AREA_HA,2024/2025
period_jump,warn,18 in 2023/2024 vs 730 in 2024/2025,NE-3 TIGER_NUT_PROD_T,2024/2025
period_jump,warn,"151 in 2023/2024 vs 1,639 in 2024/2025",NE-5 CASSAVA_AREA_HA,2024/2025
period_jump,warn,"3,957 in 2023/2024 vs 55,987 in 2024/2025",NE-5 CASSAVA_PROD_T,2024/2025
period_jump,warn,208 in 2023/2024 vs 9 in 2024/2025,NE-5 PEPPER_AREA_HA,2024/2025
period_jump,warn,"4,127 in 2023/2024 vs 21,111 in 2024/2025",NE-5 PEPPER_YIELD_KG_HA,2024/2025
period_jump,warn,"1,605 in 2023/2024 vs 206 in 2024/2025",NE-5 SWEET_POTATO_AREA_HA,2024/2025
period_jump,warn,"372 in 2023/2024 vs 1,912 in 2024/2025",NE-6 CASSAVA_AREA_HA,2024/2025
period_jump,warn,"3,426 in 2023/2024 vs 45,241 in 2024/2025",NE-6 CASSAVA_PROD_T,2024/2025
period_jump,warn,685 in 2023/2024 vs 107 in 2024/2025,NE-6 PEPPER_AREA_HA,2024/2025
period_jump,warn,"814 in 2023/2024 vs 7,741 in 2024/2025",NE-7 CASSAVA_AREA_HA,2024/2025
period_jump,warn,"16,225 in 2023/2024 vs 259,635 in 2024/2025",NE-7 CASSAVA_PROD_T,2024/2025
period_jump,warn,148 in 2023/2024 vs 860 in 2024/2025,NE-7 PEPPER_AREA_HA,2024/2025
period_jump,warn,"1,316,237 in 2023/2024 vs 15,632 in 2024/2025",NE-8 COWPEA_AREA_HA,2024/2025
period_jump,warn,"547,643 in 2023/2024 vs 6,461 in 2024/2025",NE-8 COWPEA_PROD_T,2024/2025
period_jump,warn,56 in 2023/2024 vs 326 in 2024/2025,NE-8 MORINGA_AREA_HA,2024/2025
period_jump,warn,"485 in 2023/2024 vs 7,927 in 2024/2025",NE-8 MORINGA_PROD_T,2024/2025
period_jump,warn,"139,616 in 2023/2024 vs 86 in 2024/2025",NE-8 SESAME_AREA_HA,2024/2025
period_jump,warn,"71,408 in 2023/2024 vs 42 in 2024/2025",NE-8 SESAME_PROD_T,2024/2025
period_jump,warn,"1,900 in 2023/2024 vs 11,697 in 2024/2025",_T MORINGA_AREA_HA,2024/2025
period_jump,warn,"27,641 in 2023/2024 vs 261,408 in 2024/2025",_T MORINGA_PROD_T,2024/2025
