FREQ,REF_AREA,SPECULATION,TYPE_CULTURE,INDIC_AGRI,TIME_PERIOD,OBS_VALUE
A,AFNER,ARA,CUL_IND,PROD,1990,17.599999999999998
A,AFNER,ARA,CUL_IND,PROD,1991,45.9
A,AFNER,ARA,CUL_IND,PROD,1992,57.1
A,AFNER,ARA,CUL_IND,PROD,1993,25.5
A,AFNER,ARA,CUL_IND,PROD,1994,67.4
A,AFNER,ARA,CUL_IND,PROD,1995,111.0
A,AFNER,ARA,CUL_IND,PROD,1996,196.23
A,AFNER,ARA,CUL_IND,PROD,1997,88.49999999999999
A,AFNER,ARA,CUL_IND,PROD,1998,112.136
A,AFNER,ARA,CUL_IND,PROD,1999,103.76
A,AFNER,ARA,CUL_IND,PROD,2000,113.216
A,AFNER,ARA,CUL_IND,PROD,2001,82.00601855416382
A,AFNER,ARA,CUL_IND,PROD,2002,149.567575
A,AFNER,ARA,CUL_IND,PROD,2003,385.649578
A,AFNER,ARA,CUL_IND,PROD,2004,159.079
A,AFNER,ARA,CUL_IND,PROD,2005,139.1
A,AFNER,ARA,CUL_IND,PROD,2006,135.888
A,AFNER,ARA,CUL_IND,PROD,2007,147.676
A,AFNER,ARA,CUL_IND,PROD,2008,304.969
A,AFNER,ARA,CUL_IND,PROD,2009,253.496
A,AFNER,ARA,CUL_IND,PROD,2010,406246.0
A,AFNER,ARA,CUL_IND,PROD,2011,395657.0
A,AFNER,ARA,CUL_IND,PROD,2012,291763.0
A,AFNER,ARA,CUL_IND,PROD,2013,342743.0
A,AFNER,ARA,CUL_IND,PROD,2014,403365.0
A,AFNER,ARA,CUL_IND,PROD,2015,427030.0
A,AFNER,ARA,CUL_IND,PROD,2016,453228.0
A,AFNER,ARA,CUL_IND,PROD,2017,461841.0
A,AFNER,ARA,CUL_IND,PROD,2018,593754.0
A,AFNER,ARA,CUL_IND,PROD,2019,543488.0
A,AFNER,ARA,CUL_IND,PROD,2020,593669.0
A,AFNER,ARA,CUL_IND,PROD,2021,518784.0
A,AFNER,ARA,CUL_IND,PROD,2022,670613.0
A,AFNER,ARA,CUL_IND,PROD,2023,558453.0
A,AFNER,ARA,CUL_IND,PROD,2024,672755.8310841001
A,AFNER,CER,CUL_VIV,PROD,1996,2260.363
A,AFNER,CER,CUL_VIV,PROD,1997,1719.2389999999998
A,AFNER,CER,CUL_VIV,PROD,1998,2960.128
A,AFNER,CER,CUL_VIV,PROD,1999,2850.504
A,AFNER,CER,CUL_VIV,PROD,2000,2117.3210000000004
A,AFNER,CER,CUL_VIV,PROD,2001,3096.206693655531
A,AFNER,CER,CUL_VIV,PROD,2002,3225.09131327
A,AFNER,CER,CUL_VIV,PROD,2003,3511.543816520454
A,AFNER,CER,CUL_VIV,PROD,2004,2659.954
A,AFNER,CER,CUL_VIV,PROD,2005,3602.4610000000007
A,AFNER,CER,CUL_VIV,PROD,2006,3959.5255
A,AFNER,CER,CUL_VIV,PROD,2007,3784.768
A,AFNER,CER,CUL_VIV,PROD,2008,4793.295
A,AFNER,CER,CUL_VIV,PROD,2009,3441.24
A,AFNER,CER,CUL_VIV,PROD,2010,5192994.0
A,AFNER,CER,CUL_VIV,PROD,2011,3554795.0
A,AFNER,CER,CUL_VIV,PROD,2012,5257627.0
A,AFNER,CER,CUL_VIV,PROD,2013,4052462.6092943
A,AFNER,CER,CUL_VIV,PROD,2014,4267283.0
A,AFNER,CER,CUL_VIV,PROD,2015,5343605.0
A,AFNER,CER,CUL_VIV,PROD,2016,5718800.0
A,AFNER,CER,CUL_VIV,PROD,2017,5760070.628196499
A,AFNER,CER,CUL_VIV,PROD,2018,5992977.0
A,AFNER,CER,CUL_VIV,PROD,2019,5204984.0
A,AFNER,CER,CUL_VIV,PROD,2020,5681239.0
A,AFNER,CER,CUL_VIV,PROD,2021,3386036.0
A,AFNER,CER,CUL_VIV,PROD,2022,5823834.0
A,AFNER,CER,CUL_VIV,PROD,2023,4920844.0
A,AFNER,CER,CUL_VIV,PROD,2024,5831773.3332591
A,AFNER,ENS,CUL_VIV,PROD,1996,2717.2
A,AFNER,ENS,CUL_VIV,PROD,1997,2077.756
A,AFNER,ENS,CUL_VIV,PROD,1998,3887.644
A,AFNER,ENS,CUL_VIV,PROD,1999,3513.376
A,AFNER,ENS,CUL_VIV,PROD,2000,2521.0060000000003
A,AFNER,ENS,CUL_VIV,PROD,2001,3718.6840076978096
A,AFNER,ENS,CUL_VIV,PROD,2002,4019.846648270001
A,AFNER,ENS,CUL_VIV,PROD,2003,4232.536080520455
A,AFNER,ENS,CUL_VIV,PROD,2004,3160.191
A,AFNER,ENS,CUL_VIV,PROD,2005,4368.087
A,AFNER,ENS,CUL_VIV,PROD,2006,4892.6585000000005
A,AFNER,ENS,CUL_VIV,PROD,2007,5066.652
A,AFNER,ENS,CUL_VIV,PROD,2008,6548.392
A,AFNER,ENS,CUL_VIV,PROD,2009,4258.894
A,AFNER,ENS,CUL_VIV,PROD,2010,7193738.0
A,AFNER,ENS,CUL_VIV,PROD,2011,5326152.0
A,AFNER,ENS,CUL_VIV,PROD,2012,7502345.0
A,AFNER,ENS,CUL_VIV,PROD,2013,6757341.881989105
A,AFNER,ENS,CUL_VIV,PROD,2014,7167155.0
A,AFNER,ENS,CUL_VIV,PROD,2015,7851298.5
A,AFNER,ENS,CUL_VIV,PROD,2016,8150463.0
A,AFNER,ENS,CUL_VIV,PROD,2017,8417840.897489952
A,AFNER,ENS,CUL_VIV,PROD,2018,9178384.55
A,AFNER,ENS,CUL_VIV,PROD,2019,8606011.56
A,AFNER,ENS,CUL_VIV,PROD,2020,9594250.69
A,AFNER,ENS,CUL_VIV,PROD,2021,6484217.38
A,AFNER,ENS,CUL_VIV,PROD,2022,8905648.0
A,AFNER,ENS,CUL_VIV,PROD,2023,7388820.0
A,AFNER,ENS,CUL_VIV,PROD,2024,9667787.8777639
