codelist,code,name,dataflow
CL_COMMENT_OBS,COMMENT_OBS,"For rice, this refers to rice cultivation outside of hydro-agricultural development.",DF_AGRI_PROD
CL_COMMENT_OBS,I,Excluding SOPAMIN production,DF_AGRI_PROD
CL_COMMENT_OBS,II,Including SOPAMIN sales,DF_AGRI_PROD
CL_FREQ,A,Annual,DF_AGRI_PROD
CL_FREQ,M,Monthly,DF_AGRI_PROD
CL_FREQ,Q,Quarterly,DF_AGRI_PROD
CL_FREQ,S,"Half-yearly, semester",DF_AGRI_PROD
CL_FREQ,W,Weekly,DF_AGRI_PROD
CL_FREQ,D,Daily,DF_AGRI_PROD
CL_FREQ,H,Hourly,DF_AGRI_PROD
CL_FREQ,B,Daily – business week,DF_AGRI_PROD
CL_FREQ,N,Minutely,DF_AGRI_PROD
CL_FREQ,A2,Biennial,DF_AGRI_PROD
CL_FREQ,A3,Triennial,DF_AGRI_PROD
CL_FREQ,A4,Quadrennial,DF_AGRI_PROD
CL_FREQ,A5,Quinquennial,DF_AGRI_PROD
CL_FREQ,A10,Decennial,DF_AGRI_PROD
CL_FREQ,A20,Bidecennial,DF_AGRI_PROD
CL_FREQ,A30,Tridecennial,DF_AGRI_PROD
CL_FREQ,A_3,Three times a year,DF_AGRI_PROD
CL_FREQ,M2,Bimonthly,DF_AGRI_PROD
CL_FREQ,M_2,Semimonthly,DF_AGRI_PROD
CL_FREQ,M_3,Three times a month,DF_AGRI_PROD
CL_FREQ,W2,Biweekly,DF_AGRI_PROD
CL_FREQ,W3,Triweekly,DF_AGRI_PROD
CL_FREQ,W4,Four-weekly,DF_AGRI_PROD
CL_FREQ,W_2,Semiweekly,DF_AGRI_PROD
CL_FREQ,W_3,Three times a week,DF_AGRI_PROD
CL_FREQ,D_2,Twice a day,DF_AGRI_PROD
CL_FREQ,H2,Bihourly,DF_AGRI_PROD
CL_FREQ,H3,Trihourly,DF_AGRI_PROD
CL_FREQ,I,Irregular,DF_AGRI_PROD
CL_FREQ,OA,Occasional annual,DF_AGRI_PROD
CL_FREQ,OM,Occasional monthly,DF_AGRI_PROD
CL_FREQ,_O,Other,DF_AGRI_PROD
CL_FREQ,_U,Unspecified,DF_AGRI_PROD
CL_FREQ,_Z,Not applicable,DF_AGRI_PROD
CL_INDIC_AGRI,SUP,Cultivated area,DF_AGRI_PROD
CL_INDIC_AGRI,PROD,Production,DF_AGRI_PROD
CL_INDIC_AGRI,REND,Yield,DF_AGRI_PROD
CL_REF_AREA,AFNER,Niger,DF_AGRI_PROD
CL_REF_AREA,AFNER1,Agadez,DF_AGRI_PROD
CL_REF_AREA,AFNER2,Diffa,DF_AGRI_PROD
CL_REF_AREA,AFNER3,Dosso,DF_AGRI_PROD
CL_REF_AREA,AFNER4,Maradi,DF_AGRI_PROD
CL_REF_AREA,AFNER5,Tahoua,DF_AGRI_PROD
CL_REF_AREA,AFNER6,Tillaberi,DF_AGRI_PROD
CL_REF_AREA,AFNER7,Zinder,DF_AGRI_PROD
CL_REF_AREA,AFNER8,Niamey,DF_AGRI_PROD
CL_REF_AREA,AFNER01,Agadez,DF_AGRI_PROD
CL_REF_AREA,AFNER02,Diffa,DF_AGRI_PROD
CL_REF_AREA,AFNER03,Dosso,DF_AGRI_PROD
CL_REF_AREA,AFNER04,Maradi,DF_AGRI_PROD
CL_REF_AREA,AFNER05,Tahoua,DF_AGRI_PROD
CL_REF_AREA,AFNER06,Tillaberi,DF_AGRI_PROD
CL_REF_AREA,AFNER07,Zinder,DF_AGRI_PROD
CL_REF_AREA,AFNER08,Niamey,DF_AGRI_PROD
CL_REF_AREA,AFRNER,NIGER,DF_AGRI_PROD
CL_REF_AREA,AFRNER6,TILLABERI,DF_AGRI_PROD
CL_REF_AREA,AFRNER8,NIAMEY,DF_AGRI_PROD
CL_REF_AREA,AFRNER7,ZINDER,DF_AGRI_PROD
CL_REF_AREA,AFRNER3,DOSSO,DF_AGRI_PROD
CL_REF_AREA,AFRNER1,AGADEZ,DF_AGRI_PROD
CL_REF_AREA,AFRNER5,TAHOUA,DF_AGRI_PROD
CL_REF_AREA,AFRNER4,MARADI,DF_AGRI_PROD
CL_REF_AREA,AFRNER2,DIFFA,DF_AGRI_PROD
CL_SOURCE,MAE,Source: Ministry of Agriculture and Livestock / EPER Reports,DF_AGRI_PROD
CL_SOURCE,INS_PROJ_DEM,INS/Demographic Projection 2012-2025,DF_AGRI_PROD
CL_SOURCE,INS_TBS,INS/Social Dashboard,DF_AGRI_PROD
CL_SOURCE,DS_MEH_A,"Source: Direction des Statistiques du Ministère de l'Environnement, de l'Hydraulique et de l'Assainissement",DF_AGRI_PROD
CL_SOURCE,MENAPL_AFNER,"Source:Ministère de l'Education Nationale, de l'Alphabétisation et de la Promotion des Langues",DF_AGRI_PROD
CL_SOURCE,DSI_MM,Source: Ministère des Mines,DF_AGRI_PROD
CL_SOURCE,DS_ME,Source: Ministère de l'Energie,DF_AGRI_PROD
CL_SOURCE,ANN_STAT_MESRIT,Annuaires Statistiques du Ministére de l'Enseignement Supérieur de la Recherche et de l'Innovation Technologique,DF_AGRI_PROD
CL_SOURCE,INS_NGR,Source: Institut National de la statistique - INS Niger,DF_AGRI_PROD
CL_SOURCE,DHIS2,DHIS2,DF_AGRI_PROD
CL_SOURCE,MCTI,Source:Ministère de la Communication et des Nouvelles Technologies de l'Information,DF_AGRI_PROD
CL_SOURCE,DSSI_MJDH_CRI_NER,"Source: Directorate of Statistics and Information Systems of the Ministry of Justice and Human Rights, in charge of Relations with Institutions",DF_AGRI_PROD
CL_SOURCE,INS,National Institute of Statistics,DF_AGRI_PROD
