label,code,dimension,unit,note
Niger,NE,REF_AREA,,country total as printed by INS
Total,_T,REF_AREA,,SDMX convention for totals
Ensemble,_T,REF_AREA,,
National,NE,REF_AREA,,
Agadez,NE-1,REF_AREA,,ISO 3166-2:NE
Diffa,NE-2,REF_AREA,,ISO 3166-2:NE
Dosso,NE-3,REF_AREA,,ISO 3166-2:NE
Maradi,NE-4,REF_AREA,,ISO 3166-2:NE
Tahoua,NE-5,REF_AREA,,ISO 3166-2:NE
Tillabéri,NE-6,REF_AREA,,ISO 3166-2:NE
Tillabery,NE-6,REF_AREA,,spelling seen in older INS reports
Tillaberi,NE-6,REF_AREA,,spelling without accent
Zinder,NE-7,REF_AREA,,ISO 3166-2:NE
Niamey,NE-8,REF_AREA,,ISO 3166-2:NE
CU Niamey,NE-8,REF_AREA,,communauté urbaine
Superficie (ha),AREA_HA,INDICATOR,ha,
Superficie,AREA_HA,INDICATOR,ha,
Rendement (kg/ha),YIELD_KG_HA,INDICATOR,kg/ha,
Rendement,YIELD_KG_HA,INDICATOR,kg/ha,
Production (t),PROD_T,INDICATOR,t,
Production (tonnes),PROD_T,INDICATOR,t,
Production,PROD_T,INDICATOR,t,
Mil,MILLET,COMPOSITE_BREAKDOWN,,
Sorgho,SORGHUM,COMPOSITE_BREAKDOWN,,
Niébé,COWPEA,COMPOSITE_BREAKDOWN,,
Niebe,COWPEA,COMPOSITE_BREAKDOWN,,
Maïs,MAIZE,COMPOSITE_BREAKDOWN,,
Mais,MAIZE,COMPOSITE_BREAKDOWN,,
Riz,RICE,COMPOSITE_BREAKDOWN,,
Fonio,FONIO,COMPOSITE_BREAKDOWN,,
Arachide,GROUNDNUT,COMPOSITE_BREAKDOWN,,
Sésame,SESAME,COMPOSITE_BREAKDOWN,,
Voandzou,BAMBARA_NUT,COMPOSITE_BREAKDOWN,,
Oseille,SORREL,COMPOSITE_BREAKDOWN,,
Gombo,OKRA,COMPOSITE_BREAKDOWN,,
Oignon,ONION,COMPOSITE_BREAKDOWN,,
Moringa,MORINGA,COMPOSITE_BREAKDOWN,,
Manioc,CASSAVA,COMPOSITE_BREAKDOWN,,
Patate douce,SWEET_POTATO,COMPOSITE_BREAKDOWN,,
Poivron,PEPPER,COMPOSITE_BREAKDOWN,,
Souchet,TIGER_NUT,COMPOSITE_BREAKDOWN,,
Tomate,TOMATO,COMPOSITE_BREAKDOWN,,
Pomme de terre,POTATO,COMPOSITE_BREAKDOWN,,
Chou,CABBAGE,COMPOSITE_BREAKDOWN,,
Laitue,LETTUCE,COMPOSITE_BREAKDOWN,,
Carotte,CARROT,COMPOSITE_BREAKDOWN,,
Courge,SQUASH,COMPOSITE_BREAKDOWN,,
Pastèque,WATERMELON,COMPOSITE_BREAKDOWN,,
Melon,MELON,COMPOSITE_BREAKDOWN,,
Ail,GARLIC,COMPOSITE_BREAKDOWN,,
Canne à sucre,SUGARCANE,COMPOSITE_BREAKDOWN,,
Blé,WHEAT,COMPOSITE_BREAKDOWN,,
Dolique,HYACINTH_BEAN,COMPOSITE_BREAKDOWN,,
Benin,BJ,REF_AREA,,ISO 3166-1 alpha-2
Bénin,BJ,REF_AREA,,ISO 3166-1 alpha-2
Burkina,BF,REF_AREA,,ISO 3166-1 alpha-2
Burkina Faso,BF,REF_AREA,,ISO 3166-1 alpha-2
Côte d'ivoire,CI,REF_AREA,,ISO 3166-1 alpha-2
Cote d'ivoire,CI,REF_AREA,,ISO 3166-1 alpha-2
Ghana,GH,REF_AREA,,ISO 3166-1 alpha-2
Mali,ML,REF_AREA,,ISO 3166-1 alpha-2
Nigeria,NG,REF_AREA,,ISO 3166-1 alpha-2
Nigéria,NG,REF_AREA,,ISO 3166-1 alpha-2
Sénégal,SN,REF_AREA,,ISO 3166-1 alpha-2
Senegal,SN,REF_AREA,,ISO 3166-1 alpha-2
Togo,TG,REF_AREA,,ISO 3166-1 alpha-2
Tchad,TD,REF_AREA,,ISO 3166-1 alpha-2
Algérie,DZ,REF_AREA,,ISO 3166-1 alpha-2
Libye,LY,REF_AREA,,ISO 3166-1 alpha-2
Bovins,CATTLE,COMPOSITE_BREAKDOWN,,
Ovins,SHEEP,COMPOSITE_BREAKDOWN,,
Caprins,GOATS,COMPOSITE_BREAKDOWN,,
Camelins,CAMELS,COMPOSITE_BREAKDOWN,,
Asins,ASSES,COMPOSITE_BREAKDOWN,,
Equins,HORSES,COMPOSITE_BREAKDOWN,,
Équins,HORSES,COMPOSITE_BREAKDOWN,,
Porcins,PIGS,COMPOSITE_BREAKDOWN,,
Moutons,SHEEP,COMPOSITE_BREAKDOWN,,
Chèvres,GOATS,COMPOSITE_BREAKDOWN,,
Chevres,GOATS,COMPOSITE_BREAKDOWN,,
Volailles,POULTRY,COMPOSITE_BREAKDOWN,,
Effectif,HEADCOUNT,INDICATOR,,
Effectifs,HEADCOUNT,INDICATOR,,
Nombre,NUMBER,INDICATOR,,
Quantité,QUANTITY,INDICATOR,,
Quantite,QUANTITY,INDICATOR,,
Valeur,VALUE,INDICATOR,,
Volume,VOLUME,INDICATOR,,
Prix,PRICE,INDICATOR,,
Montant,AMOUNT,INDICATOR,,
Taux,RATE,INDICATOR,,
Indice,INDEX,INDICATOR,,
